ticker,horizon_days,full_sample_r,low_vol_r,high_vol_r
QQQ,1,-0.08589751034634485,-0.011778487647330069,-0.14915093498115622
QQQ,5,-0.06924560070371878,-0.10368718796650167,-0.09754718681684607
QQQ,20,-0.11398556639005694,-0.05435012637819392,-0.07986247897983731
SPY,1,-0.09755484031066236,-0.041650841713462894,-0.14868575239027565
SPY,5,-0.06968006721285622,-0.13763946625701015,-0.06803209697813642
SPY,20,-0.14572463741393288,-0.15874675416187609,-0.16067051277149072
XLE,1,-0.021926701946802504,0.023847582753178068,-0.04777196239034836
XLE,5,0.02624728576661811,-0.0416796811466454,0.06100687326929051
XLE,20,-0.0673362735657925,-0.08824334271478831,-0.15640247727028786
XLF,1,-0.1000194117216362,-0.018092420266913455,-0.16002238760663623
XLF,5,-0.04862332725905884,-0.15396552031999006,-0.02547567933874221
XLF,20,-0.11146940673864286,-0.1109903984588329,-0.19526720749598042
XLK,1,-0.10454424609462191,-0.005284290438683421,-0.17426269152145357
XLK,5,-0.07951302157628468,-0.06890141092401895,-0.11027826760068614
XLK,20,-0.10325330146559848,-0.011255683227934032,-0.07243645556539166
XLU,1,-0.06426652062899735,-0.042324283962012675,-0.10429125697785997
XLU,5,-0.04488960947490943,0.0427262959738228,-0.04539649803388921
XLU,20,-0.22256267349057976,-0.03430815422572077,-0.29028242334445276
